Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,A_px,Angle_B_deg,C_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold,Zprime_mm,Zdoubleprime,Z_mm,Z_mm_smoothed,B_px,X_mm,X_mm_smoothed,Y_mm,Y_mm_smoothed
20,11,384,200,396,198,353.8844964337146,112.64102272262978,353.558399900665,124.78781991845197,0.8352,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,5.6893,0.0512,3.0984,3.0914,118.4037,2.9534,2.9484,0.3254,0.3504
21,7,322,414,329,442,76.09731288577944,208.09613163151303,76.08104557911489,236.95780215050948,0.8331,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.2118,0.0648,3.9445,3.9751,221.5911,1.3369,1.3243,-5.3975,-5.3722
21,4,378,306,387,314,41.56636963754948,141.6756859873987,41.57163144114504,153.7172729396407,0.785,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.5333,0.0408,2.456,2.4501,147.451,2.7683,2.7708,-2.4551,-2.4576
21,11,383,198,396,196,352.81146285726334,111.87939935484101,352.6476206401076,125.02799686470227,0.8717,3,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.1721,0.0555,3.3667,3.2290,118.0888,2.9395,2.9227,0.3753,0.4054
22,6,132,444,112,476,121.10880882854515,270.9686328710392,121.21840276434638,308.7005021051958,0.7632,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.2387,0.0651,3.9595,3.8502,288.6065,-3.7482,-3.7597,-6.197,-6.1619
22,7,320,410,328,439,76.37300514010846,203.73512215619573,76.1420623242386,233.80547470065795,0.7042,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.6428,0.0687,4.1841,4.1376,217.737,1.2987,1.3014,-5.3073,-5.3103
22,4,378,306,387,315,41.56636963754948,141.6756859873987,41.84928358673226,154.38264151127873,0.6418,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.7731,0.0429,2.5892,2.3642,147.7565,2.7678,2.7686,-2.4672,-2.4579
22,11,381,194,394,192,350.62293930569564,110.47624178980746,350.690059825014,123.62847568420473,0.7764,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.2478,0.0562,3.4088,3.4095,116.6829,2.8892,2.9042,0.4753,0.4653
23,6,132,441,111,474,121.4396849682326,268.40454541605664,121.57088373002908,307.514227313144,0.7247,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.5519,0.0679,4.1335,4.1101,286.6314,-3.7592,-3.7577,-6.1322,-6.1387
23,7,319,406,326,435,76.38145833855894,199.6121238802894,76.38771333629754,229.44498251214821,0.8126,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,7.7324,0.0695,4.2338,4.2774,213.4914,1.2611,1.2885,-5.2068,-5.2462
23,4,379,306,387,314,41.299456944821664,142.42541907960108,41.57163144114504,153.7172729396407,0.5923,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,4.2403,0.0381,2.2931,2.3073,147.8561,2.7814,2.7663,-2.4557,-2.4556
23,11,380,191,393,188,348.9964591482505,110.02272492535349,348.78115771873115,123.35720489699821,0.6721,4,28,3,4,5000,100,71.0,10.0,15.0,0.35,0.35,0.3,0.1,6.354,0.0571,3.4678,3.5456,116.309,2.8639,2.8835,0.5628,0.5302
