Frame_Number,Track_ID,Center_X,Center_Y,Right_X,Right_Y,Angle_A_deg,Radius_A_px,Angle_B_deg,Radius_B_px,Pair_Score,Pair_Count,Binary_Threshold,Blur_Size,Min_Area_px2,Max_Area_px2,Max_Width_px,Max_Radial_Gap_px,Max_Angle_Diff_deg,Max_Center_Offset_px,Weight_Angle,Weight_Area,Weight_Center,Min_Score_Threshold
57,1,526,87,546,77,333.79700264220327,283.09185788362055,333.77049860018855,305.45212390815027,0.6673,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
58,3,80,241,65,243,171.41087354493055,194.17775361765828,171.4827698916931,209.3083849252103,0.5808,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
58,1,527,86,547,75,333.7052099294161,284.43101096751036,333.5183487341991,307.23606559126483,0.6219,2,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
59,4,129,400,118,415,127.2580087596744,236.20541907416094,127.18470645323312,254.80384612481814,0.5224,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
59,2,224,310,220,317,116.09542415738835,109.12378292562992,116.346366057655,117.17081547894082,0.5652,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
59,3,82,239,67,242,171.912120025462,191.9088325221119,171.67434966957316,207.18349355100662,0.6917,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
59,1,528,84,549,74,333.434948822922,286.2167011199731,333.5177461345261,309.4721312170128,0.5977,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
60,4,130,399,119,414,127.21152090290202,234.8041737278109,127.14122527591336,253.40284134160768,0.5663,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
60,2,225,309,221,316,115.85186254206042,107.78682665335315,116.12262151903852,115.83177456984762,0.6205,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
60,3,83,239,68,241,171.86989764584402,190.91883092036784,171.9092221280104,206.0509645694482,0.582,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
60,1,530,84,550,74,333.6128854543324,288.00694436072195,333.60006588603306,310.36752407428196,0.597,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
61,4,130,399,119,414,127.21152090290202,234.8041737278109,127.14122527591336,253.40284134160768,0.5663,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
61,2,225,309,222,316,115.85186254206042,107.78682665335315,115.6768156818382,115.39497389401325,0.6939,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
61,3,83,239,69,241,171.86989764584402,190.91883092036784,171.86989764584402,205.0609665440988,0.6125,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
61,1,530,84,551,74,333.6128854543324,288.00694436072195,333.68191186034824,311.26355392175293,0.6538,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
62,2,225,309,222,316,115.85186254206042,107.78682665335315,115.6768156818382,115.39497389401325,0.6939,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
62,3,84,239,69,241,171.8272351224455,189.92893407798613,171.86989764584402,205.0609665440988,0.4652,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
62,1,530,84,550,74,333.6128854543324,288.00694436072195,333.60006588603306,310.36752407428196,0.6218,3,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
63,4,130,399,119,414,127.21152090290202,234.8041737278109,127.14122527591336,253.40284134160768,0.5663,4,33,1,0,5000,100,120.0,10.0,15.0,0.35,0.35,0.0,0.1
